Municipio,Codigo DANE,Establecimiento Educativo,Sede Educativa,Zona,Poblacion,Region
ALMAGUER,119022001172,INSTITUCION EDUCATIVA SAN LUIS,CASA BLANCA,RURAL,MAYORITARIA,MACIZO
ALMAGUER,119022001172,INSTITUCION EDUCATIVA SAN LUIS,ORDONEZ,RURAL,MAYORITARIA,MACIZO
ALMAGUER,219022000065,CENTRO EDUCATIVO LA HONDA,EL PENOL,RURAL,MAYORITARIA,MACIZO
ALMAGUER,219022000065,CENTRO EDUCATIVO LA HONDA,NACEDERO,RURAL,MAYORITARIA,MACIZO
ALMAGUER,219022000201,CENTRO EDUCATIVO CORTADERAS, CORTADERAS (sede principal),RURAL,MAYORITARIA,MACIZO
ALMAGUER,219022000405,CENTRO EDUCATIVO LA TARABITA,SAUJI,RURAL,MAYORITARIA,MACIZO
ALMAGUER,219022000405,CENTRO EDUCATIVO LA TARABITA,EL SILENCIO,RURAL,MAYORITARIA,MACIZO
ALMAGUER,219022000405,CENTRO EDUCATIVO LA TARABITA, TARABITA (sede principal),RURAL,MAYORITARIA,MACIZO
ALMAGUER,219022001096,I.E. SANTA MARIA DE CAQUIONA,ESCUELA RURAL MIXTA EL HATO,RURAL,INDÍGENA,MACIZO
ALMAGUER,219022001096,I.E. SANTA MARIA DE CAQUIONA,ESCUELA RURAL MIXTA BALCONCRUZ,RURAL,INDÍGENA,MACIZO
ALMAGUER,219022001096,I.E. SANTA MARIA DE CAQUIONA,ESCUELA RURAL MIXTA QUEBRADILLAS,RURAL,INDÍGENA,MACIZO
ALMAGUER,219022001096,I.E. SANTA MARIA DE CAQUIONA,ESCUELA RURAL MIXTA CERRO LARGO,RURAL,INDÍGENA,MACIZO
ALMAGUER,219022001185,INSTITUCION EDUCATIVA LLACUANAS,LLACUANAS BAJO,RURAL,MAYORITARIA,MACIZO
ALMAGUER,219022001185,INSTITUCION EDUCATIVA LLACUANAS,LA YUNGA,RURAL,MAYORITARIA,MACIZO
ALMAGUER,219022001185,INSTITUCION EDUCATIVA LLACUANAS, LLACUANAS (sede principal),RURAL,MAYORITARIA,MACIZO
ALMAGUER,219022001193,INSTITUCION EDUCATIVA EL TABLON,LA PRIMAVERA,RURAL,MAYORITARIA,MACIZO
ALMAGUER,219022001193,INSTITUCION EDUCATIVA EL TABLON,EL TAMBO,RURAL,MAYORITARIA,MACIZO
ALMAGUER,219022001193,INSTITUCION EDUCATIVA EL TABLON, EL TABLON (sede principal),RURAL,MAYORITARIA,MACIZO
ALMAGUER,219022001207,I.E. LA HERRADURA,HIGUERILLOS,RURAL,MAYORITARIA,MACIZO
ALMAGUER,219022001207,I.E. LA HERRADURA,GUAYACANES,RURAL,MAYORITARIA,MACIZO
ALMAGUER,219022001207,I.E. LA HERRADURA,LA MESA,RURAL,MAYORITARIA,MACIZO
ALMAGUER,219022001207,I.E. LA HERRADURA,EL CHILCO,RURAL,MAYORITARIA,MACIZO
ALMAGUER,219022001207,I.E. LA HERRADURA,EL PUENTE,RURAL,MAYORITARIA,MACIZO
ALMAGUER,219022001207,I.E. LA HERRADURA, LA HERRADURA (sede principal),RURAL,MAYORITARIA,MACIZO
ARGELIA,219050000071,C.E. SAN JUAN DE LA FLORIDA, SAN JUAN DE LA FLORIDA (sede principal),RURAL,MAYORITARIA,SUR
ARGELIA,219050000071,C.E. SAN JUAN DE LA FLORIDA,EL CORAZON,RURAL,MAYORITARIA,SUR
ARGELIA,219050000089,C.E. LA PRIMAVERA, LA PRIMAVERA (sede principal),RURAL,MAYORITARIA,SUR
ARGELIA,219050000127,C.E. JOSE MARIA CORDOBA, JOSE MARIA CORDOBA (sede principal),RURAL,MAYORITARIA,SUR
ARGELIA,219050000135,I.E. LA BELLEZA,LA DELGADITA,RURAL,MAYORITARIA,SUR
ARGELIA,219050000135,I.E. LA BELLEZA,GUAYABAL,RURAL,MAYORITARIA,SUR
ARGELIA,219050000160,C.E. MIROLINDO, MIROLINDO (sede principal),RURAL,MAYORITARIA,SUR
ARGELIA,219050000160,C.E. MIROLINDO,ESCUELO EL PORVENIR,RURAL,MAYORITARIA,SUR
ARGELIA,219050000178,I.E. EL DIVISO (ANTES C.E. EL DIVISO), EL DIVISO- SEDE PRINCIPAL (sede principal),RURAL,MAYORITARIA,SUR
ARGELIA,219050000178,I.E. EL DIVISO (ANTES C.E. EL DIVISO),EL DIAMANTE,RURAL,MAYORITARIA,SUR
ARGELIA,219050000461,C.E. SAN JUAN DE LA GUADUA,EL MESON ALTO,RURAL,MAYORITARIA,SUR
ARGELIA,219050000461,C.E. SAN JUAN DE LA GUADUA, SAN JUAN DE LA GUADUA (sede principal),RURAL,MAYORITARIA,SUR
ARGELIA,219050000551,C.E. LA PLAYA,NUEVA LOS CRISTALES,RURAL,MAYORITARIA,SUR
ARGELIA,219050000551,C.E. LA PLAYA, LA PLAYA (sede principal),RURAL,MAYORITARIA,SUR
ARGELIA,219050000551,C.E. LA PLAYA,LA MINA,RURAL,MAYORITARIA,SUR
ARGELIA,219050000810,C.E. BOTAFOGO,EL CRUCERO,RURAL,MAYORITARIA,SUR
ARGELIA,219050000810,C.E. BOTAFOGO,ALTAMIRA,RURAL,MAYORITARIA,SUR
ARGELIA,219050000844,CENTRO EDUCATIVO BETANIA, BETANIA (sede principal),RURAL,MAYORITARIA,SUR
ARGELIA,219050001034,C.E. LOS PICOS, LOS PICOS (sede principal),RURAL,MAYORITARIA,SUR
ARGELIA,219050001115,C.E. LA LEONA, LA LEONA (sede principal),RURAL,MAYORITARIA,SUR
ARGELIA,219050001352,C.E. PAMBILAL,ANGOSTURAS,RURAL,MAYORITARIA,SUR
ARGELIA,219050001352,C.E. PAMBILAL, PAMBILAL (sede principal),RURAL,MAYORITARIA,SUR
BALBOA,219075000041,I.E. OLAYA (ANTES C.E. OLAYA),EL VIJAL,RURAL,AFRO,SUR
BALBOA,219075000041,I.E. OLAYA (ANTES C.E. OLAYA),GUADALITO,RURAL,AFRO,SUR
BALBOA,219075000059,C.E. SANABRIA, SANABRIA (sede principal),RURAL,MAYORITARIA,SUR
BALBOA,219075000075,C.E. BUENOS AIRES, BUENOS AIRES (sede principal),RURAL,MAYORITARIA,SUR
BALBOA,219075000121,C.E. BERMEJA ALTA, BERMEJA ALTA (sede principal),RURAL,MAYORITARIA,SUR
BALBOA,219075000121,C.E. BERMEJA ALTA,EL TURBIO,RURAL,MAYORITARIA,SUR
BALBOA,219075000121,C.E. BERMEJA ALTA,EL CAIRO,RURAL,MAYORITARIA,SUR
BALBOA,219075000164,C.E. CAMPO BELLO ALTO, BUENAVISTA,RURAL,MAYORITARIA,SUR
BALBOA,219075000164,C.E. CAMPO BELLO ALTO, CAMPO BELLO ALTO (sede principal),RURAL,MAYORITARIA,SUR
BALBOA,219075000172,C.E. CAMPO BELLO BAJO,ESTUDIANTIL GALANIA,RURAL,MAYORITARIA,SUR
BALBOA,219075000172,C.E. CAMPO BELLO BAJO, CAMPO BELLO BAJO (sede principal),RURAL,MAYORITARIA,SUR
BALBOA,219075000172,C.E. CAMPO BELLO BAJO,LOS GUADUALES,RURAL,MAYORITARIA,SUR
